x,alpha0.1,alpha0.5,alpha1.0,alpha2.0,alpha5.0,alpha10.0
-0.7999999999999989,-0.8009569111079788,-0.8221918539186515,-0.871903710230698,-0.9560603591175114,-0.999420042818832,-0.9999997790519822
-0.7899999999999989,-0.7909867475885425,-0.8129164980436208,-0.8645142965008418,-0.9528792659488252,-0.99934952439574,-0.9999997292207984
-0.7799999999999989,-0.7810150119288121,-0.8036062328401319,-0.8570269360101288,-0.9495791149916457,-0.9992715952713883,-0.9999996683568563
-0.7699999999999989,-0.7710417237050606,-0.7942613289861365,-0.8494411956587298,-0.946155886054611,-0.9991854773357378,-0.9999995940174746
-0.7599999999999989,-0.7610669025058693,-0.7848820626540244,-0.8417566707570444,-0.9426054577812459,-0.9990903109273557,-0.9999995032191563
-0.7499999999999989,-0.7510905679319738,-0.7754687154996845,-0.8339729860324422,-0.9389236079466521,-0.9989851463191693,-0.9999993923178508
-0.7399999999999989,-0.7411127395961131,-0.7660215746498944,-0.8260897966378002,-0.9351060140427201,-0.9988689343225938,-0.9999992568627074
-0.7299999999999989,-0.731133437122875,-0.7565409326880252,-0.8181067891604848,-0.9311482541767316,-0.9987405159203535,-0.9999990914174465
-0.7199999999999989,-0.7211526801485445,-0.7470270876380513,-0.8100236826303795,-0.927045808309329,-0.9985986108295684,-0.9999988893421855
-0.7099999999999989,-0.7111704883209491,-0.7374803429468527,-0.8018402295254915,-0.9227940598589176,-0.998441804887134,-0.9999986425269599
-0.6999999999999988,-0.701186881299307,-0.7279010074648026,-0.7935562167736302,-0.9183882977006038,-0.9982685361390655,-0.9999983410662451
-0.6899999999999988,-0.6912018787540722,-0.7182893954246278,-0.7851714667485877,-0.9138237185887494,-0.9980770795042492,-0.99999797286142
-0.6799999999999988,-0.6812155003667808,-0.7086458264185374,-0.7766858382592059,-0.9090954300331299,-0.9978655298708949,-0.9999975231352148
-0.6699999999999988,-0.671227765829898,-0.698970625373611,-0.7680992275296623,-0.9041984536594876,-0.997631783470884,-0.9999969738386618
-0.6599999999999988,-0.6612386948466624,-0.6892641225254377,-0.7594115691692592,-0.8991277290859759,-0.9973735173631192,-0.9999963029267463
-0.6499999999999988,-0.6512483071309328,-0.679526653390005,-0.7506228371299639,-0.8938781183475422,-0.997088166841892,-0.9999954834736928
-0.6399999999999988,-0.6412566224070332,-0.6697585587338281,-0.7417330456498864,-0.8884444109007106,-0.9967729005701835,-0.9999944825923841
-0.6299999999999988,-0.6312636604095978,-0.6599601845423202,-0.7327422501808646,-0.8828213292414419,-0.9964245932207242,-0.9999932601145521
-0.6199999999999988,-0.6212694408834166,-0.6501318819863963,-0.7236505482982684,-0.8770035351687633,-0.9960397953896072,-0.9999917669787837
-0.6099999999999988,-0.6112739835832801,-0.6402740073873137,-0.7144580805911157,-0.8709856367266372,-0.995614700528353,-0.9999899432616624
-0.5999999999999988,-0.6012773082738239,-0.6303869221797441,-0.7051650315305564,-0.864762195856047,-0.9951451086206924,-0.9999877157730522
-0.5899999999999987,-0.5912794347293734,-0.6204709928730788,-0.6957716303147501,-0.8583277367884954,-0.9946263863101652,-0.9999849951190513
-0.5799999999999987,-0.581280382733788,-0.6105265910109688,-0.6862781516881512,-0.8516767552109918,-0.9940534231641591,-0.9999816721147919
-0.5699999999999987,-0.5712801720803062,-0.6005540931291009,-0.6766849167331873,-0.8448037282311309,-0.993420583739627,-0.9999776134032048
-0.5599999999999987,-0.5612788225713885,-0.5905538807112117,-0.6669922936323054,-0.8377031251689929,-0.9927216550958401,-0.9999726561040254
-0.5499999999999987,-0.5512763540185622,-0.5805263401433466,-0.6572006983983549,-0.8303694192003019,-0.991949789380803,-0.9999666012784734
-0.5399999999999987,-0.5412727862422647,-0.5704718626663638,-0.647310595571268,-0.822797099872514,-0.9910974411011224,-0.9999592059475793
-0.5299999999999987,-0.5312681390716877,-0.5603908443266954,-0.6373224988789995,-0.8149806865122607,-0.9901562986711699,-0.999950173344223
-0.5199999999999987,-0.5212624323446199,-0.5502836859253668,-0.6272369718606965,-0.8069147425388037,-0.9891172098275453,-0.9999391410082552
-0.5099999999999987,-0.511255685907291,-0.5401507929652858,-0.6170546284500797,-0.7985938906938246,-0.9879701004906396,-0.9999256662477951
-0.49999999999999867,-0.5012479196142148,-0.5299925755968098,-0.606776133517035,-0.7900128291929857,-0.9867038866584195,-0.9999092083845281
-0.48999999999999866,-0.4912391533280319,-0.5198094485615995,-0.5964022033654365,-0.7811663487991966,-0.9853063789306806,-0.9998891070724045
-0.47999999999999865,-0.4812294069193532,-0.5096018311347741,-0.5859336061852574,-0.7720493508114173,-0.9837641792877709,-0.9998645558225094
-0.46999999999999864,-0.471218700266602,-0.49937014706537414,-0.5753711624570531,-0.7626568659561024,-0.9820625697895059,-0.9998345696759219
-0.45999999999999863,-0.4612070532558573,-0.4891148245151514,-0.5647157453069515,-0.752984074161022,-0.9801853929217349,-0.9997979457336589
-0.4499999999999986,-0.451194485780696,-0.4788362959956954,-0.5539682808103267,-0.7430263251832372,-0.9781149234045505,-0.9997532149693175
-0.4399999999999986,-0.4411810177420352,-0.46853499830391393,-0.5431297482423952,-0.7327791600544009,-0.9758317313930861,-0.9996985834049452
-0.4299999999999986,-0.431166669047975,-0.4582113724558837,-0.5322011802740301,-0.722238333297396,-0.9733145371557981,-0.9996318603108628
