x,t,d1,d5,d20,d40
3.6005288734093144e-08,119,-5.066067024384519e-05,4.5065640760479077e-08,-8.193070095340833e-06,0.2670339011260608
2.1829577951253617e-08,120,5.071963065199122e-05,2.95249104262821e-08,0.0029215475049884903,0.18933604378243293
1.3140063386066028e-08,121,-5.0683625351255367e-05,1.914886873040754e-08,0.005580633116294343,0.10724519683379559
7.852766082667485e-09,122,5.070545493648315e-05,1.107025894248942e-08,0.007735216069647228,0.0226819112036243
4.6593028639999974e-09,123,-5.069231486871706e-05,5.161522443373563e-09,0.009196065338987093,-0.06237316549695344
2.744683689874259e-09,124,5.0700167637417313e-05,2.0805816938610042e-09,0.009835408838282869,-0.1459217257339053
1.6052280551855089e-09,125,-5.069550833300021e-05,1.5216175478041498e-09,0.009598859634261665,-0.22599961315157907
9.320823003919383e-10,126,5.0698253017604984e-05,1.9973765053284515e-09,0.008510857652539389,-0.3007300341451087
5.373346667437891e-10,127,-5.069664778901472e-05,1.9632199439432274e-09,0.0066723968252010175,-0.36836716269429215
3.075449070984702e-10,128,5.069757987162581e-05,9.661209392100645e-10,0.0042510007340411365,-0.4273326466431314
1.7476131277500563e-10,129,-5.069704253677995e-05,-2.7651221074136376e-10,0.0014645120869410191,-0.47625081389988466
9.859505575990852e-11,130,5.0697350081789566e-05,-8.035592902864442e-10,-0.0014389096544301487,-0.5139813832515537
5.5225296372512056e-11,131,-5.0697175320418535e-05,-3.701919497236701e-10,-0.004202499392501706,-0.5396466592468887
3.071100673562126e-11,132,5.069727391550716e-05,4.133522979392319e-10,-0.006582832762108066,-0.5526521613226044
1.6955989189503582e-11,133,-5.069721869019238e-05,7.481128512154283e-10,-0.008370692261286849,-0.552700449394249
9.294484093066258e-12,134,5.069724940120935e-05,3.835794133768939e-10,-0.009409379545829955,-0.5397979501187632
5.0582527428434435e-12,135,-5.069723244521451e-05,-2.5209382999699377e-10,-0.009608902766616648,-0.5142546535097519
2.7330579647639777e-12,136,5.06972417397017e-05,-5.503631197340003e-10,-0.008954486391983593,-0.47667669529423323
1.466122434384561e-12,137,-5.0697236681447274e-05,-3.010017470018813e-10,-0.007508077629428081,-0.42795200222501956
7.808447878254933e-13,138,5.069723941450615e-05,1.8152575321196683e-10,-0.005402293408203475,-0.369229313390557
4.128880103915441e-13,139,-5.0697237948383225e-05,4.245400175746096e-10,-0.0028275493701894884,-0.3018909366035359
2.1675688826187845e-13,140,5.069723872922827e-05,2.4733550529892537e-10,-1.4232849287422912e-05,-0.2275195680869867
1.1297611163577645e-13,141,-5.0697238316340125e-05,-1.234628028723466e-10,0.002787930494152921,-0.147859932885953
5.846196634846888e-14,142,5.069723853309708e-05,-3.2337741942798275e-10,0.005331529538479427,-0.0647776055544138
3.003539125673408e-14,143,-5.069723842012093e-05,-2.0016231639651947e-10,0.007392698631709318,0.019781973848483448
1.5320263975037952e-14,144,5.0697238478582916e-05,8.334035023767648e-11,0.008790515922021812,0.10383523939646225
7.758402075695338e-15,145,-5.0697238448547514e-05,2.4632056503863426e-10,0.009403057502251204,0.1854075282000156
3.900779460804298e-15,146,5.0697238463867785e-05,1.6154480246784858e-10,0.009178566179010089,0.26258443115958313
1.947168750922079e-15,147,-5.0697238456109384e-05,-5.489971729738024e-11,0.008140342671271538,0.33355967465319175
9.650034475205239e-16,148,5.069723846001017e-05,-1.8715405221334956e-10,0.006384484332407099,0.3966756748032393
4.748180480404546e-16,149,-5.0697238458063e-05,-1.2979615715688329e-10,0.004070585404262989,0.4504596768981416
